Número de artículo,Identificador del producto,Nombre,Nombre de visualización del código de barras,Variación,Cantidad Unidad Cantidad,Categoría,ID del proveedor,Permitir anulación de precio independientemente de los permisos,Deshabilitar reglas de precios,Solo permite que los artículos se vendan en números enteros,Vendido en una serie,Cantidad de la serie,Número de días que la serie debe usarse dentro de,¿Está el código de barras,Inactivo,Cantidad predeterminada al vender o recibir,Costo,Precio de venta,Precio promocional,Fecha de inicio de la promoción,Fecha de finalización de la promoción,"El precio incluye impuesto,",Es un servicio,Es favorito,Cantidad,Mínimo de productos,Nivel de Reposición,Descripción,descripción larga,Ventana emergente de información al agregar a la venta,Peso,Unidad de peso,Longitud,Ancho,Altura,Permitir descripción alterna,El artículo cuenta con un número de serie,Comisión,¿Porciento de comisión basado en ganancia?,Grupo de impuestos,Etiquetas,Días de vencimiento,Precio modificable mientras se realiza la venta,Fabricante,Ubicación en tienda,Artículo es de comercio electrónico,Id del artículo
104634,P33965,PINTURA_T1 PINTATEC GRIS BASALTO 1/4,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,11500.0,12500,,,,,,n,8.0,,,,,,,,,,,,,,,,PINTURA T1,,,,VARIOS - PISO: 1,y,4628
104633,34115,CANAL PVC TIPO RAINGO X 3MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,40000.0,46000,,,,,,n,14.0,,,,,,,,,,,,,,,,,,,,,y,4627
104632,33947,TEJA ZINC ASESCO 3MT X 1MT,,,,HOGAR-CONSTRUCCION,FERRETERIA HERMANOS BASTIDAS J,,,,,,,y,,,30000.0,33000,,,,,,n,9.0,20.0,2000.0,,,,,,,,,,,,,,,,,,CASA VERDE,y,4626
104631,33950,TEJA ZINC ASESCO 3.60T X 1MT,,,,HOGAR-CONSTRUCCION,FERRETERIA HERMANOS BASTIDAS J,,,,,,,y,,,30800.0,38800,,,,,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,CASA VERDE,y,4625
104630,33944,TEJA ZINC ASESCO 2.40 X 1MT,,,,HOGAR-CONSTRUCCION,FERRETERIA HERMANOS BASTIDAS J,,,,,,,y,,,20800.0,26800,,,,,,n,379.0,20.0,2000.0,,,,,,,,,,,,,,TEJA,,,,CASA VERDE,y,4624
104629,33959,JUEGO OLLA ARROCERA TAPA COLOR X 3UND,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,58250.0,61250,,,,,,n,2.0,2.0,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4623
104628,33962,JUEGO DE OLLAS ARO ALUMINIO X 10UND 12-30,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,140300.0,145300,,,,,,n,0.0,2.0,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4622
104627,33956,JUEGO OLLA ARROCERA 250/2250 X 5UN,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,90000.0,99000,,,,y,,n,3.0,,,,,,,,,,,,,,,,,,,,,y,4621
104626,33953,CANTINA LECHERA ALUMINIO # 10,,,,,ALUMINIOS EL REY,,,,,,,y,,,40150.0,47150,,,,,,n,5.0,,,,,,,,,,,,,,,,,,,,SALA VENTAS,y,4620
104625,34103,ARBOL DE ENTRADA CARDENAS,,,,GRIFERIAS-ACCESORIOS,HIDROGRIFERIAS CARDENAS SAS,,,,,,,y,,,1500.0,3500,,,,y,,n,41.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 21 - PISO: 2,y,4619
