REF;I
9;100000
3114;100001
3115;100002
2;100003
15;100004
7;100005
10;100006
12;100008
3647;100009
R/503;100010
5887;100011
7838;100012
7834;100013
7836;100014
7835;100015
7837;100016
101217;100017
7096;100018
7098;100019
3;100020
6;100021
8;100022
13;100023
14;100024
3646;100025
16;100026
3648;100027
17;100028
21;100029
2323;100030
2322;100031
20;100032
6788;100033
4367;100034
6926;100035
5920;100036
5921;100037
10069;100038
3703;100039
6160;100040
6927;100041
ACROP1/4;100042
ACROP-GP;100043
7499;100044
10249;100045
10248;100046
6409;100047
6408;100048
9534;100049
7719;100050
7720;100051
7731;100052
7732;100053
A31364;100054
7724;100055
7723;100056
7725;100057
7735B;100058
7734;100059
7703;100060
7704B;100061
7706B;100062
7707B;100063
7743B;100064
7747;100065
7744;100066
7745;100067
7736;100068
7737B;100069
7738B;100070
7722;100071
7717;100072
7739;100073
7740B;100074
7741;100075
7711;100076
7710;100077
7713;100078
7714B;100079
7726;100080
7715;100081
9516;100082
9517;100083
9518;100084
20309;100085
5580;100086
4730;100087
6742;100088
1817;100089
38;100090
5950;100091
9520;100092
9523B;100093
2621;100094
3464;100095
3465;100096
3463;100097
10083;100098
9521;100099
9770;100100
10015;100101
10016;100102
9769;100103
44;100104
45;100105
46;100106
47;100107
248;100108
904;100109
3056;100110
905;100111
903;100112
1891;100113
3412;100114
901;100115
9522;100116
9523;100117
52;100118
10275;100119
6751;100120
6752;100121
1962;100122
68;100123
9525;100124
71;100125
72;100126
73;100127
74;100128
6597;100129
77;100130
78;100131
79;100132
80;100133
81;100134
6600;100135
6601;100136
82;100137
7293;100138
9525_;100139
76;100140
83;100141
544_;100142
543;100143
543_;100144
542;100145
540;100146
539;100147
33122;100148
541;100149
9542;100150
85;100151
86;100152
87;100153
3087;100154
3086;100155
3095;100156
3098;100157
3097;100158
3088;100159
3089;100160
3090;100161
3091;100162
3092;100163
3093;100164
3094;100165
10168;100166
10234;100167
10235;100168
88;100169
89;100170
10423;100171
10424;100172
2319;100173
9544;100174
9545;100175
9546;100176
9548;100177
8266;100178
5388;100179
96;100180
97;100181
7518;100182
9549;100183
1816;100184
9550;100185
1222;100186
101;100187
9556;100188
9560;100189
4841;100190
5634;100191
9559;100192
10511;100193
10510;100194
10504;100195
1291;100196
10345;100197
10361;100198
10360;100199
9541;100200
9540;100201
10509;100202
9560_;100203
10354;100204
9561;100205
9562;100206
106;100207
107;100208
02_;100209
10206;100210
113;100211
111;100212
112;100213
4515;100214
650;100215
4724;100216
7816;100217
3764;100218
114;100219
115;100220
2665;100221
7609;100222
45556;100223
5697;100224
10096;100225
119;100226
121;100227
4142;100228
6603;100229
3053;100230
3528;100231
2049;100232
6613;100233
122;100234
5310;100235
5311;100236
5312;100237
5313;100238
9563;100239
33119;100240
5510;100241
135;100242
10338;100243
6656;100244
9528;100245
138;100246
6657;100247
9565;100248
10355;100249
10205;100250
PT1222;100251
6723;100252
6724;100253
6725;100254
6726;100255
6727;100256
10108;100257
3324;100258
3325;100259
3326;100260
3327;100261
3328;100262
144;100263
145;100264
10412;100265
154;100266
155;100267
156;100268
157;100269
158;100270
159;100271
160;100272
161;100273
162;100274
163;100275
167;100276
1869;100277
164;100278
166;100279
165;100280
193;100281
194;100282
195;100283
196;100284
197;100285
198;100286
2132;100287
168;100288
171;100289
173;100290
174;100291
175;100292
176;100293
1870;100294
177;100295
178;100296
179;100297
180;100298
181;100299
182;100300
184;100301
907;100302
1236;100303
2058;100304
5455;100305
188;100306
189;100307
2131;100308
190;100309
191;100310
192;100311
1890;100312
199;100313
33116;100314
10403;100315
201;100316
202;100317
6494;100318
2050;100319
7075;100320
7074;100321
7076;100322
210;100323
211;100324
212;100325
213;100326
214;100327
215;100328
216;100329
217;100330
605;100331
219;100332
284;100333
221;100334
220;100335
603;100336
222;100337
2427;100338
2428;100339
2134;100340
2135;100341
224;100342
225;100343
9578;100344
9580;100345
9582;100346
9583;100347
9581;100348
9584;100349
230;100350
6305;100351
6306;100352
231;100353
9585;100354
10251;100355
237;100356
238;100357
239;100358
240;100359
241;100360
242;100361
243;100362
3645;100363
3305;100364
3307;100365
3769;100366
3846;100367
9586;100368
9587;100369
9588;100370
9589;100371
4336;100372
4337;100373
4338;100374
245;100375
246;100376
247;100377
226;100378
4856;100379
4726;100380
228;100381
5087;100382
4757;100383
227;100384
7775;100385
7779;100386
7777;100387
7778;100388
249;100389
250;100390
5990;100391
268;100392
5928;100393
5925;100394
5927;100395
5929;100396
5926;100397
271;100398
272;100399
270;100400
273;100401
10080;100402
10079;100403
10081;100404
4884;100405
277;100406
278;100407
279;100408
280;100409
5704;100410
7600;100411
5706;100412
9731;100413
10474;100414
10340;100415
10341;100416
10342;100417
10475_;100418
5714;100419
5716;100420
296;100421
297;100422
4229;100423
299;100424
300;100425
298;100426
301;100427
302;100428
303;100429
304;100430
306;100431
307;100432
308;100433
309;100434
305;100435
310;100436
311;100437
312;100438
313;100439
8037;100440
8038;100441
7708B;100442
2582;100443
6144;100444
2583;100445
2600;100446
4375;100447
3964;100448
9766;100449
9758;100450
371;100451
372;100452
373;100453
375;100454
376;100455
374;100456
6335;100457
9767;100458
2587;100459
2588;100460
3069;100461
6334;100462
6332;100463
7759;100464
7760;100465
7761;100466
7762;100467
7750;100468
7751;100469
7752;100470
7753;100471
7754;100472
4237;100473
4238;100474
9599;100475
6945;100476
56715;100477
384;100478
3551;100479
3121;100480
387;100481
3038;100482
2094;100483
9601;100484
2042;100485
9600;100486
7446;100487
10476;100488
390;100489
10105;100490
8992;100491
8993;100492
7462;100493
4950;100494
395;100495
4121;100496
394XXX;100497
398;100498
397;100499
394;100500
